,ho_failure_rate,num_voice_attempts,voice_drop_rate,num_data_attempts,voice_setup_failure_rate,voice_tot_failure_rate,avail_period_duration,bandwidth,throughput_rate,data_setup_failure_rate,data_drop_rate,data_tot_failure_rate,unavail_total_rate,unavail_unplan_rate,scores,anomaly
141,0.3380503144654088,0.036144578313253,0.0085470085470085,0.0272839195647281,0.0,0.0085470085470085,1.0,0.2496248124062031,6.834764188792126e-05,0.0179524502668607,0.0046094129063561,0.0068534691897137,0.3333642003889249,0.0,-0.010562210566284369,-1
142,0.3382173382173382,0.0129749768303985,0.0,0.0164550761858113,0.0714285714285714,0.0238095238095238,1.0,0.2496248124062031,0.0001419928580702,0.0185036202735317,0.0023129525341914,0.0046259050683829,0.3333642003889249,0.0,-0.015969415661675868,-1
145,0.3390804597701149,0.0370713623725671,0.0083333333333333,0.0258012417426759,0.0,0.0083333333333333,1.0,0.2496248124062031,6.602430186826116e-05,0.0205233453052847,0.0050667008722421,0.0076321190354027,0.3333642003889249,0.0,-0.014868147995921288,-1
150,0.3378142892705999,0.0296570898980537,0.0104166666666666,0.0302360370139927,0.03125,0.0208333333333333,1.0,0.2496248124062031,9.046344365634924e-05,0.0245183887915936,0.0053086690017513,0.0083734676007005,0.3333642003889249,0.0,-0.09496157313670328,-1
166,0.3442226255293406,0.0556070435588507,0.0111111111111111,0.0387879108804723,0.0,0.0111111111111111,1.0,0.2496248124062031,3.606216238486071e-05,0.0150170648464163,0.0044368600682593,0.0063139931740614,0.3333642003889249,0.0,-0.014361459480818906,-1
171,0.3671742808798646,0.0352177942539388,0.0175438596491228,0.0373846622274586,0.0,0.0175438596491228,1.0,0.2496248124062031,7.075757838508905e-05,0.0201841359773371,0.0056214589235127,0.0081444759206798,0.3333642003889249,0.0,-0.052820173043821916,-1
175,0.3356086461888509,0.0111214087117701,0.0277777777777777,0.0228756006830908,0.0,0.0277777777777777,1.0,0.2496248124062031,0.0001280012450688,0.0173611111111111,0.0026765046296296,0.0048466435185185,0.3333642003889249,0.0,-0.02139368514666451,-1
177,0.3463203463203463,0.0528266913809082,0.0058479532163742,0.0332808218271356,0.0,0.0058479532163742,1.0,0.2496248124062031,4.610720762736289e-05,0.0381861575178997,0.0066626889419252,0.0114359586316626,0.3333642003889249,0.0,-0.04869784113877973,-1
1315,0.3459119496855345,0.0231696014828544,0.0266666666666666,0.0149194455844001,0.0,0.0266666666666666,1.0,0.2496248124062031,6.829662386021662e-05,0.0168589174800354,0.0026619343389529,0.0047692990239574,0.3333642003889249,0.0,-0.01722035685727097,-1
1327,0.3333333333333333,0.0009267840593141,0.3333333333333333,0.0155019261573491,0.0,0.3333333333333333,1.0,0.2496248124062031,8.921051538491864e-05,0.0162254483347566,0.0046968403074295,0.0067250213492741,0.3333642003889249,0.0,-0.09734113710593806,-1
1331,0.3492063492063492,0.0305838739573679,0.0303030303030303,0.0328704377871033,0.0,0.0303030303030303,1.0,0.2496248124062031,7.349417403441379e-05,0.0076520338300443,0.0021647200966572,0.0031212243254128,0.3333642003889249,0.0,-0.005821835621316551,-1
1374,0.3333333333333333,0.0009267840593141,0.0,0.0005560041832695,0.0,0.0,1.0,0.2496248124062031,7.316267965492853e-05,0.0714285714285714,0.0119047619047619,0.0208333333333333,0.3333642003889249,0.0,-0.040326099968400086,-1
3222,0.3333333333333333,0.005560704355885,0.0555555555555555,0.0009068163465229,0.0,0.0555555555555555,1.0,0.0995497748874437,2.1952904573517253e-06,0.0,0.0036496350364963,0.0036496350364963,0.3333642003889249,0.0,-0.027673948505499202,-1
5185,0.3333333333333333,0.0018535681186283,0.1666666666666666,0.0042891751280795,0.0,0.1666666666666666,1.0,0.4997498749374687,0.0004756753059595,0.0,0.0030864197530864,0.0030864197530864,0.3333642003889249,0.0,-0.0614506229185402,-1
8285,0.3375339757845317,0.201112140871177,0.0061443932411674,0.1942837474681952,0.0,0.0061443932411674,1.0,0.2496248124062031,1.655793912067606e-05,0.0095393840283455,0.0072397110929408,0.008432134096484,0.3333642003889249,0.0,-0.1139583751813843,-1
8288,0.3347714432460195,0.3679332715477293,0.0008396305625524,0.2169210606441705,0.0025188916876574,0.0016792611251049,1.0,0.2496248124062031,2.5830748497863552e-05,0.0062248260710362,0.0043711094837056,0.0051492127425851,0.3333642003889249,0.0,-0.08696555289560315,-1
8308,0.3373055279708705,0.0945319740500463,0.0163398692810457,0.0709832007307483,0.0,0.0163398692810457,1.0,0.2496248124062031,5.476632911888924e-05,0.0100708690787019,0.0061077955986572,0.0073666542334949,0.3333642003889249,0.0,-0.05199896068072396,-1
8311,0.3355555555555555,0.025949953660797,0.0119047619047619,0.0382054303075232,0.0,0.0119047619047619,1.0,0.2496248124062031,9.810757851489728e-05,0.0117810117810117,0.0097453222453222,0.0112179487179487,0.3333642003889249,0.0,-0.05846653805586299,-1
8312,0.3333333333333333,0.0389249304911955,0.0079365079365079,0.0453408173261494,0.0,0.0079365079365079,1.0,0.2496248124062031,9.552471067567104e-05,0.0081751824817518,0.0056934306569343,0.0067153284671532,0.3333642003889249,0.0,-0.0168447287088751,-1
8377,0.350210970464135,0.1362372567191844,0.0068027210884353,0.0905757290935808,0.0,0.0068027210884353,1.0,0.2496248124062031,2.014606909508828e-05,0.0201695410698626,0.0054808535515931,0.0080020461853259,0.3333642003889249,0.0,-0.06317525707808891,-1
8384,0.3534591194968553,0.015755329008341,0.0,0.0222004527462635,0.0,0.0,1.0,0.2496248124062031,6.034572131262278e-05,0.0268336314847942,0.0144603458556946,0.0178145497912939,0.3333642003889249,0.0,-0.02470068272055237,-1
8889,0.3333333333333333,0.3531047265987025,0.0008748906386701,0.0325394829161095,0.0,0.0008748906386701,1.0,0.0995497748874437,5.178506662968207e-05,0.0309194467046379,0.0002034174125305,0.0040683482506102,0.3333642003889249,0.0,-0.023827624364017863,-1
